feature,dtype,missing_pct,mean,std
stage,int64,0.0,18.242773008968783,10.40735449507357
home_advantage,int64,0.0,1.0,0.0
home_form_points,float64,0.0,6.675622618268601,3.356287408832659
away_form_points,float64,0.0,6.937949882597483,3.369442686050548
home_form_gd,float64,0.0,-0.036123407367489126,0.9621791141147352
away_form_gd,float64,0.0,0.041881904615266176,0.9684221210039071
form_diff,float64,0.0,-0.2656761230224412,4.649002350801769
h2h_home_win_rate,float64,0.0,0.34817544940143963,0.2895233243506388
prob_H,float64,0.0,0.44999453269056744,0.16248176880547688
prob_D,float64,0.0,0.2597826690698328,0.04370695796156057
prob_A,float64,0.0,0.2886514077888189,0.14544368439525623
home_avg_rating,float64,0.0,70.94763898407899,5.921649424494789
away_avg_rating,float64,0.0,70.87475774916882,5.910112876172889
rating_diff,float64,0.0,0.07288123491018124,5.072531750382384
home_buildUpPlaySpeed,float64,0.0,52.05943261865353,12.655868201132165
away_buildUpPlaySpeed,float64,0.0,52.03999384117942,12.649383685756975
home_buildUpPlayPassing,float64,0.0,47.72785711536241,11.805014961263117
away_buildUpPlayPassing,float64,0.0,47.720928442203316,11.797262704293354
home_chanceCreationShooting,float64,0.0,55.56869009584665,10.489699922785618
away_chanceCreationShooting,float64,0.0,55.571500057738945,10.49439566576686
home_chanceCreationPassing,float64,0.0,52.2222949305208,10.98220000123858
away_chanceCreationPassing,float64,0.0,52.20974633357712,10.975445007408359
home_chanceCreationCrossing,float64,0.0,53.844836213865044,11.589747830905319
away_chanceCreationCrossing,float64,0.0,53.83186419800608,11.590890413645596
home_defencePressure,float64,0.0,47.03244928596174,11.461768947402783
away_defencePressure,float64,0.0,47.00970014242272,11.462561370448709
home_defenceAggression,float64,0.0,50.177604988644674,11.46645119744786
away_defenceAggression,float64,0.0,50.15989837946033,11.462440853364209
home_defenceTeamWidth,float64,0.0,52.30736363986296,10.853223795444874
away_defenceTeamWidth,float64,0.0,52.30890334500943,10.853268749715767
league_Belgium Jupiler League,int64,0.0,0.06651526232726433,0.24918541759485735
league_England Premier League,int64,0.0,0.11701759113129835,0.3214474325311295
league_France Ligue 1,int64,0.0,0.11701759113129835,0.3214474325311295
league_Germany 1. Bundesliga,int64,0.0,0.09422995496362446,0.29215399372473544
league_Italy Serie A,int64,0.0,0.1161322606720813,0.3203896221052454
league_Netherlands Eredivisie,int64,0.0,0.09422995496362446,0.29215399372473544
league_Poland Ekstraklasa,int64,0.0,0.0739058470302937,0.26162264329980145
league_Portugal Liga ZON Sagres,int64,0.0,0.07898687401362639,0.2697234660067862
league_Scotland Premier League,int64,0.0,0.07021055467877901,0.2555064492840771
league_Spain LIGA BBVA,int64,0.0,0.11701759113129835,0.32144743253112945
league_Switzerland Super League,int64,0.0,0.05473651795681127,0.22746960953204182
season_2008/2009,int64,0.0,0.12802648292851918,0.3341257247123203
season_2009/2010,int64,0.0,0.12433119057700451,0.3299653566571766
season_2010/2011,int64,0.0,0.12548596943685283,0.3312755125659019
season_2011/2012,int64,0.0,0.1239462642903884,0.3295265811546382
season_2012/2013,int64,0.0,0.12548596943685283,0.33127551256590193
season_2013/2014,int64,0.0,0.11670965010200547,0.3210801706357284
season_2014/2015,int64,0.0,0.12798799029985758,0.3340828652498193
season_2015/2016,int64,0.0,0.12802648292851918,0.33412572471232027
mkt_fav_A,int64,0.0,0.23688363678355595,0.42517847779444107
mkt_fav_D,int64,0.0,0.0011932714885099502,0.03452381020075036
mkt_fav_H,int64,0.0,0.6316640363370415,0.4823624547490469
