model,accuracy,f1_weighted,auc_roc,train_time_sec
Random Forest,0.5086605080831409,0.46232828690964156,0.639155147381942,149.04838275909424
XGBoost,0.5026943802925328,0.4634053051279601,0.6402615513407007,60.38261032104492
Voting Ensemble,0.5221324095458044,0.4584616883076112,0.6515660131371616,2.687250852584839
